"run_id","benchmark_type","security_mode","baseline_name","sweep_name","sweep_variable","sweep_value","trial_index","trial_count","broker_count","partitions","replication_factor","min_insync_replicas","num_records","record_size_bytes","throughput_limit_records_per_sec","producer_count","consumer_count","batch_size","linger_ms","acks","compression_type","records_sent","records_consumed","throughput_records_per_sec","throughput_mb_per_sec","data_consumed_mb","avg_latency_ms","max_latency_ms","rebalance_time_ms","fetch_time_ms","producer_count_observed","producer_throughput_records_per_sec_min","producer_throughput_records_per_sec_max","producer_avg_latency_ms_min","producer_avg_latency_ms_max","interval_summary_count","interval_avg_latency_ms_p95","interval_avg_latency_ms_p99","interval_max_latency_ms_p95","interval_max_latency_ms_p99","telemetry_host_count","benchmark_client_cpu_percent_mean","broker_cpu_percent_mean","broker_cpu_percent_max_mean","benchmark_client_memory_used_percent_mean","broker_memory_used_percent_mean","benchmark_client_network_rx_bytes_delta","benchmark_client_network_tx_bytes_delta","broker_network_rx_bytes_delta_mean","broker_network_tx_bytes_delta_mean","broker_network_rx_bytes_delta_total","broker_network_tx_bytes_delta_total","benchmark_client_disk_read_sectors_delta","benchmark_client_disk_write_sectors_delta","broker_disk_read_sectors_delta_mean","broker_disk_write_sectors_delta_mean","broker_disk_read_sectors_delta_total","broker_disk_write_sectors_delta_total"
"consumer-security-slice-plaintext-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-cons6-compnone-trial2","consumer","plaintext","consumer-security-slice","consumer-security-slice","factorial_config","consumer-security-slice-plaintext-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-cons6-compnone-trial2","2","3","5","6","3","3","100000","1024","null","1","6","16384","5","all","none","null","100000.0","65530.7995","63.9949","97.6563","null","null","619.0","907.0","null","null","null","null","null","null","null","null","null","null","6","29.124628099173552","16.838670952516374","38.62","10.367603305785124","16.09111102910244","108954388","108756729","66646491.4","67335756.6","333232457","336678783","0","30896","0.0","168049.6","0","840248"
"consumer-security-slice-plaintext-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-cons6-compnone-trial3","consumer","plaintext","consumer-security-slice","consumer-security-slice","factorial_config","consumer-security-slice-plaintext-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-cons6-compnone-trial3","3","3","5","6","3","3","100000","1024","null","1","6","16384","5","all","none","null","100000.0","62578.2228","61.1115","97.6563","null","null","576.0","1022.0","null","null","null","null","null","null","null","null","null","null","6","27.66564516129032","16.82923414880344","35.796","10.345241935483871","16.15403151355623","109047560","108767650","66659165.8","67367204.0","333295829","336836020","0","25728","0.0","162155.2","0","810776"
"consumer-security-slice-plaintext-b5-rf3-isr3-msg102400-tps1000-batch16384-acksall-prod1-cons1-complz4-trial1","consumer","plaintext","consumer-security-slice","consumer-security-slice","factorial_config","consumer-security-slice-plaintext-b5-rf3-isr3-msg102400-tps1000-batch16384-acksall-prod1-cons1-complz4-trial1","1","3","5","6","3","3","100000","102400","null","1","1","16384","5","all","lz4","null","100000.0","3528.706","344.6002","9765.625","null","null","600.0","27739.0","null","null","null","null","null","null","null","null","null","null","6","74.05680555555556","33.03726344723679","68.576","11.340625","21.17377631447888","10583585043","10360442645","6210582419.8","6271918874.6","31052912099","31359594373","0","29160","24742.4","12083216.0","123712","60416080"
"consumer-security-slice-plaintext-b5-rf3-isr3-msg102400-tps1000-batch16384-acksall-prod1-cons1-complz4-trial2","consumer","plaintext","consumer-security-slice","consumer-security-slice","factorial_config","consumer-security-slice-plaintext-b5-rf3-isr3-msg102400-tps1000-batch16384-acksall-prod1-cons1-complz4-trial2","2","3","5","6","3","3","100000","102400","null","1","1","16384","5","all","lz4","null","100000.0","3434.8916","335.4386","9765.625","null","null","658.0","28455.0","null","null","null","null","null","null","null","null","null","null","6","76.96868055555555","33.36255217930892","65.046","11.528402777777778","21.298204407351676","10583675281","10361389698","6210956454.4","6272228717.8","31054782272","31361143589","0","40976","24382.4","12081752.0","121912","60408760"
"consumer-security-slice-plaintext-b5-rf3-isr3-msg102400-tps1000-batch16384-acksall-prod1-cons1-complz4-trial3","consumer","plaintext","consumer-security-slice","consumer-security-slice","factorial_config","consumer-security-slice-plaintext-b5-rf3-isr3-msg102400-tps1000-batch16384-acksall-prod1-cons1-complz4-trial3","3","3","5","6","3","3","100000","102400","null","1","1","16384","5","all","lz4","null","100000.0","3490.1578","340.8357","9765.625","null","null","668.0","27984.0","null","null","null","null","null","null","null","null","null","null","6","76.40972222222223","33.210587129104496","65.526","11.41048611111111","21.409138150790113","10583695356","10360897924","6210796579.6","6272109751.8","31053982898","31360548759","0","34032","25494.4","12081460.8","127472","60407304"
"consumer-security-slice-plaintext-b5-rf3-isr3-msg102400-tps1000-batch16384-acksall-prod1-cons1-compnone-trial1","consumer","plaintext","consumer-security-slice","consumer-security-slice","factorial_config","consumer-security-slice-plaintext-b5-rf3-isr3-msg102400-tps1000-batch16384-acksall-prod1-cons1-compnone-trial1","1","3","5","6","3","3","100000","102400","null","1","1","16384","5","all","none","null","100000.0","3749.9531","366.2064","9765.625","null","null","680.0","25987.0","null","null","null","null","null","null","null","null","null","null","6","66.36054421768708","33.49067340177673","55.888","11.904761904761905","19.394789240697285","10581712971","10359929443","6209598708.2","6270595123.2","31047993541","31352975616","0","35312","704526.4","11926665.6","3522632","59633328"
"consumer-security-slice-plaintext-b5-rf3-isr3-msg102400-tps1000-batch16384-acksall-prod1-cons1-compnone-trial2","consumer","plaintext","consumer-security-slice","consumer-security-slice","factorial_config","consumer-security-slice-plaintext-b5-rf3-isr3-msg102400-tps1000-batch16384-acksall-prod1-cons1-compnone-trial2","2","3","5","6","3","3","100000","102400","null","1","1","16384","5","all","none","null","100000.0","3747.0024","365.9182","9765.625","null","null","606.0","26082.0","null","null","null","null","null","null","null","null","null","null","6","69.2256338028169","32.18550745655109","60.274","11.997676056338028","20.91288285591171","10582180657","10356665769","6208029218.4","6269645891.6","31040146092","31348229458","0","20424","25430.4","12080440.0","127152","60402200"
"consumer-security-slice-plaintext-b5-rf3-isr3-msg102400-tps1000-batch16384-acksall-prod1-cons1-compnone-trial3","consumer","plaintext","consumer-security-slice","consumer-security-slice","factorial_config","consumer-security-slice-plaintext-b5-rf3-isr3-msg102400-tps1000-batch16384-acksall-prod1-cons1-compnone-trial3","3","3","5","6","3","3","100000","102400","null","1","1","16384","5","all","none","null","100000.0","3797.5164","370.8512","9765.625","null","null","627.0","25706.0","null","null","null","null","null","null","null","null","null","null","6","69.5280985915493","33.20848091534016","67.502","11.893239436619718","21.04367559356552","10581860845","10359997001","6209952570.8","6271010963.0","31049762854","31355054815","0","23624","24603.2","12081633.6","123016","60408168"
"consumer-security-slice-plaintext-b5-rf3-isr3-msg102400-tps1000-batch16384-acksall-prod1-cons6-complz4-trial1","consumer","plaintext","consumer-security-slice","consumer-security-slice","factorial_config","consumer-security-slice-plaintext-b5-rf3-isr3-msg102400-tps1000-batch16384-acksall-prod1-cons6-complz4-trial1","1","3","5","6","3","3","100000","102400","null","1","6","16384","5","all","lz4","null","100000.0","3327.8978","324.99","9765.625","null","null","689.0","29360.0","null","null","null","null","null","null","null","null","null","null","6","74.0882993197279","32.499745939007916","65.31800000000001","12.050748299319729","22.06502740606704","10583766663","10361906272","6211006951.8","6272231491.0","31055034759","31361157455","0","38264","21315.2","12085529.6","106576","60427648"
"consumer-security-slice-plaintext-b5-rf3-isr3-msg102400-tps1000-batch16384-acksall-prod1-cons6-complz4-trial2","consumer","plaintext","consumer-security-slice","consumer-security-slice","factorial_config","consumer-security-slice-plaintext-b5-rf3-isr3-msg102400-tps1000-batch16384-acksall-prod1-cons6-complz4-trial2","2","3","5","6","3","3","100000","102400","null","1","6","16384","5","all","lz4","null","100000.0","3479.108","339.7566","9765.625","null","null","633.0","28110.0","null","null","null","null","null","null","null","null","null","null","6","74.27144827586207","31.620929939421682","66.94","11.672965517241378","22.155273674518856","10583719181","10359004811","6210028866.8","6271674317.6","31050144334","31358371588","0","32992","139705.6","12085912.0","698528","60429560"
"consumer-security-slice-plaintext-b5-rf3-isr3-msg102400-tps1000-batch16384-acksall-prod1-cons6-complz4-trial3","consumer","plaintext","consumer-security-slice","consumer-security-slice","factorial_config","consumer-security-slice-plaintext-b5-rf3-isr3-msg102400-tps1000-batch16384-acksall-prod1-cons6-complz4-trial3","3","3","5","6","3","3","100000","102400","null","1","6","16384","5","all","lz4","null","100000.0","3466.4448","338.52","9765.625","null","null","650.0","28198.0","null","null","null","null","null","null","null","null","null","null","6","75.82347222222222","31.611117438965426","63.322","11.524444444444445","22.270680450615977","10584119404","10359790582","6210288091.0","6271894733.0","31051440455","31359473665","0","25000","25275.2","12086236.8","126376","60431184"
"consumer-security-slice-plaintext-b5-rf3-isr3-msg102400-tps1000-batch16384-acksall-prod1-cons6-compnone-trial1","consumer","plaintext","consumer-security-slice","consumer-security-slice","factorial_config","consumer-security-slice-plaintext-b5-rf3-isr3-msg102400-tps1000-batch16384-acksall-prod1-cons6-compnone-trial1","1","3","5","6","3","3","100000","102400","null","1","6","16384","5","all","none","null","100000.0","3880.933","378.9974","9765.625","null","null","626.0","25141.0","null","null","null","null","null","null","null","null","null","null","6","66.46802816901408","32.12763243315324","66.57000000000001","11.253591549295775","21.55025005504161","10581379123","10357974096","6209105676.0","6270388781.4","31045528380","31351943907","0","29448","18107.2","12080227.2","90536","60401136"
"consumer-security-slice-plaintext-b5-rf3-isr3-msg102400-tps1000-batch16384-acksall-prod1-cons6-compnone-trial2","consumer","plaintext","consumer-security-slice","consumer-security-slice","factorial_config","consumer-security-slice-plaintext-b5-rf3-isr3-msg102400-tps1000-batch16384-acksall-prod1-cons6-compnone-trial2","2","3","5","6","3","3","100000","102400","null","1","6","16384","5","all","none","null","100000.0","3622.6634","353.7757","9765.625","null","null","643.0","26961.0","null","null","null","null","null","null","null","null","null","null","6","67.8383916083916","32.710031763881204","70.726","11.194335664335664","21.637376261454758","10581780022","10360413353","6209463491.2","6270451282.8","31047317456","31352256414","0","29848","17649.6","12082502.4","88248","60412512"
"consumer-security-slice-plaintext-b5-rf3-isr3-msg102400-tps1000-batch16384-acksall-prod1-cons6-compnone-trial3","consumer","plaintext","consumer-security-slice","consumer-security-slice","factorial_config","consumer-security-slice-plaintext-b5-rf3-isr3-msg102400-tps1000-batch16384-acksall-prod1-cons6-compnone-trial3","3","3","5","6","3","3","100000","102400","null","1","6","16384","5","all","none","null","100000.0","3589.8909","350.5753","9765.625","null","null","651.0","27205.0","null","null","null","null","null","null","null","null","null","null","6","67.69659722222222","33.33863064293725","69.434","11.594583333333333","21.859054275729886","10581902255","10359635684","6209665414.8","6270810378.0","31048327074","31354051890","0","26360","75891.2","12081676.8","379456","60408384"
